Id,When,DataType,NAICS,ServiceDetail,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
41871,11/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,31856000,56766000,239816000,2634000,4114000,4599000,6515000,69304000,1421000,57866000,4742000,9/23/2021 8:59:32 AM
41872,11/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,147228000,202338000,1193841000,38930000,19164000,9404000,21887000,456566000,5844000,262457000,25831000,9/23/2021 8:59:32 AM
41873,11/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,118103000,158195000,1090725000,42396000,34249000,25276000,37875000,472289000,6476000,155796000,37260000,9/23/2021 8:59:32 AM
41874,11/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,21705000,41570000,254928000,8182000,10173000,3654000,9866000,91335000,633000,63231000,4578000,9/23/2021 8:59:32 AM
41875,11/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,324700000,485009000,2866724000,91390000,68363000,38711000,79079000,1110455000,16071000,568980000,75838000,9/23/2021 8:59:32 AM
41876,12/1/1999 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,29627000,61952000,243079000,2558000,4700000,4738000,6498000,61645000,1953000,65813000,3594000,9/23/2021 8:59:32 AM
41877,12/1/1999 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,166893000,240856000,1310065000,44806000,24323000,9264000,21726000,482201000,4837000,279142000,31647000,9/23/2021 8:59:32 AM
41878,12/1/1999 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,118192000,168418000,1125395000,41313000,36063000,25185000,43900000,475865000,8110000,170001000,35584000,9/23/2021 8:59:32 AM
41879,12/1/1999 12:00:00 AM,Unadjusted,Special food services,Receipts,19859000,39581000,244802000,7094000,5174000,3012000,8672000,91631000,487000,64651000,4642000,9/23/2021 8:59:32 AM
41880,12/1/1999 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,325762000,486812000,2881379000,91763000,66711000,37496000,77324000,1122631000,15922000,572224000,76511000,9/23/2021 8:59:32 AM
41881,1/1/2000 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,24130000,51280000,194982000,1710000,3166000,3941000,5436000,50541000,1569000,50653000,2556000,9/23/2021 8:59:32 AM
