ID,When,Type,Alberta,ModifiedDate
97699,02-01-2012 12:00:00 AM,Non-Conventional Oil,7956982.4,09-30-2021 11:18:17 AM
97700,02-01-2012 12:00:00 AM,Natural Gas,8348839900,09-30-2021 11:18:17 AM
97701,02-01-2012 12:00:00 AM,Conventional Oil,2619447.1,09-30-2021 11:18:17 AM
97702,03-01-2012 12:00:00 AM,Conventional Oil,2888108.6,09-30-2021 11:18:17 AM
97703,03-01-2012 12:00:00 AM,Natural Gas,8957755000,09-30-2021 11:18:17 AM
97704,03-01-2012 12:00:00 AM,Non-Conventional Oil,7949891.1,09-30-2021 11:18:17 AM
97705,04-01-2012 12:00:00 AM,Conventional Oil,2753463.4,09-30-2021 11:18:17 AM
97706,04-01-2012 12:00:00 AM,Non-Conventional Oil,8197718.7,09-30-2021 11:18:17 AM
97707,04-01-2012 12:00:00 AM,Natural Gas,8583941100,09-30-2021 11:18:17 AM
97708,05-01-2012 12:00:00 AM,Natural Gas,8701638900,09-30-2021 11:18:17 AM
97709,05-01-2012 12:00:00 AM,Non-Conventional Oil,8455655.8,09-30-2021 11:18:17 AM
97710,05-01-2012 12:00:00 AM,Conventional Oil,2780625.7,09-30-2021 11:18:17 AM
97711,06-01-2012 12:00:00 AM,Non-Conventional Oil,8342345.1,09-30-2021 11:18:17 AM
97712,06-01-2012 12:00:00 AM,Natural Gas,8190368900,09-30-2021 11:18:17 AM
97713,06-01-2012 12:00:00 AM,Conventional Oil,2613764.1,09-30-2021 11:18:17 AM
97714,07-01-2012 12:00:00 AM,Non-Conventional Oil,9327507.2,09-30-2021 11:18:17 AM
97715,07-01-2012 12:00:00 AM,Natural Gas,8399085600,09-30-2021 11:18:17 AM
97716,07-01-2012 12:00:00 AM,Conventional Oil,2685879.5,09-30-2021 11:18:17 AM
97717,08-01-2012 12:00:00 AM,Conventional Oil,2715176.2,09-30-2021 11:18:17 AM
97718,08-01-2012 12:00:00 AM,Non-Conventional Oil,9228519.7,09-30-2021 11:18:17 AM
97719,08-01-2012 12:00:00 AM,Natural Gas,8344328600,09-30-2021 11:18:17 AM
97720,09-01-2012 12:00:00 AM,Non-Conventional Oil,8539397,09-30-2021 11:18:17 AM
97721,09-01-2012 12:00:00 AM,Natural Gas,8029030100,09-30-2021 11:18:17 AM
97722,09-01-2012 12:00:00 AM,Conventional Oil,2667676.6,09-30-2021 11:18:17 AM
97723,10-01-2012 12:00:00 AM,Natural Gas,8446202900,09-30-2021 11:18:17 AM
97724,10-01-2012 12:00:00 AM,Conventional Oil,2851859.7,09-30-2021 11:18:17 AM
97725,10-01-2012 12:00:00 AM,Non-Conventional Oil,9044593.5,09-30-2021 11:18:17 AM
97726,11-01-2012 12:00:00 AM,Conventional Oil,2810820.2,09-30-2021 11:18:17 AM
97727,11-01-2012 12:00:00 AM,Natural Gas,8290892300,09-30-2021 11:18:17 AM
